N,Team,Season,GP,W,L,T,OT,P,ROW,P_Shr,GF,GA,S_O_Win,GF_GP,GA_GP,PP_Shr,PK_Shr,Shots_GP,SA_GP,FOW_Shr
22,Toronto Maple Leafs,2016-17,6,2,4,0,0,4,0,.333,16,18,0,2.67,3.00,16.7,70.6,35.5,35.2,53.9
23,Columbus Blue Jackets,2017-18,6,2,4,0,0,4,0,.333,18,24,0,3.00,4.00,16.7,66.7,32.7,37.2,50.2
24,Philadelphia Flyers,2017-18,6,2,4,0,0,4,0,.333,15,28,0,2.50,4.67,9.5,80.0,24.7,30.7,48.6
25,Columbus Blue Jackets,2016-17,5,1,4,0,0,2,0,.200,13,21,0,2.60,4.20,16.7,66.7,38.8,34.2,47.5
26,Minnesota Wild,2017-18,5,1,4,0,0,2,0,.200,9,16,0,1.80,3.20,23.1,76.9,25.2,33.8,48.8
27,New Jersey Devils,2017-18,5,1,4,0,0,2,0,.200,12,18,0,2.40,3.60,15.8,73.7,34.2,33.6,47.6
28,Minnesota Wild,2016-17,5,1,4,0,0,2,0,.200,8,11,0,1.60,2.20,16.7,93.3,36.4,26.8,57.4
29,Los Angeles Kings,2013-14,26,16,10,0,0,0,0,.000,88,70,0,3.38,2.69,23.5,83.3,32.3,30.1,52.9
30,Detroit Red Wings,2007-08,22,16,6,0,0,0,0,.000,72,41,0,3.27,1.86,18.9,85.7,36.5,23.6,54.6
31,New Jersey Devils,1994-95,20,16,4,0,0,0,0,.000,67,34,0,3.35,1.70,25.0,86.5,30.4,23.3,0.0
32,Detroit Red Wings,1997-98,22,16,6,0,0,0,0,.000,75,49,0,3.41,2.23,15.5,88.2,31.9,26.8,52.7
33,Pittsburgh Penguins,1991-92,21,16,5,0,0,0,0,.000,83,63,0,3.95,3.00,24.5,85.9,29.7,30.4,0.0
34,Detroit Red Wings,1996-97,20,16,4,0,0,0,0,.000,58,38,0,2.90,1.90,14.5,84.4,36.8,25.8,0.0
35,Pittsburgh Penguins,2008-09,24,16,8,0,0,0,0,.000,79,64,0,3.29,2.67,20.6,83.3,32.5,29.0,48.4
36,Carolina Hurricanes,2005-06,25,16,9,0,0,0,0,.000,73,60,0,2.92,2.40,24.0,85.4,28.8,27.0,51.2
37,New Jersey Devils,2002-03,24,16,8,0,0,0,0,.000,63,41,0,2.63,1.71,15.5,89.2,28.6,26.3,47.0
38,New York Rangers,1993-94,23,16,7,0,0,0,0,.000,81,50,0,3.52,2.17,21.1,91.3,33.4,27.8,0.0
39,Edmonton Oilers,1986-87,21,16,5,0,0,0,0,.000,87,57,0,4.14,2.71,20.7,81.8,32.0,26.1,--
40,Montréal Canadiens,1992-93,20,16,4,0,0,0,0,.000,66,51,0,3.30,2.55,18.3,84.9,32.6,33.0,0.0
41,Dallas Stars,1998-99,23,16,7,0,0,0,0,.000,64,44,0,2.78,1.91,12.1,90.5,31.7,26.9,55.6
42,Calgary Flames,1988-89,22,16,6,0,0,0,0,.000,82,55,0,3.73,2.50,21.4,85.7,34.0,25.5,0.0
43,Colorado Avalanche,2000-01,23,16,7,0,0,0,0,.000,69,41,0,3.00,1.78,19.8,85.9,26.3,27.0,53.1
44,Edmonton Oilers,1989-90,22,16,6,0,0,0,0,.000,93,60,0,4.23,2.73,21.2,85.7,27.7,30.6,0.0
45,Chicago Blackhawks,2014-15,23,16,7,0,0,0,0,.000,69,60,0,3.00,2.61,17.9,79.0,31.4,34.3,53.1
46,Tampa Bay Lightning,2003-04,23,16,7,0,0,0,0,.000,60,43,0,2.61,1.87,21.0,85.5,26.2,26.8,48.7
47,Edmonton Oilers,1987-88,18,16,2,0,0,0,0,.000,84,53,0,4.67,2.94,26.5,82.9,27.4,25.1,0.0
48,Chicago Blackhawks,2012-13,23,16,7,0,0,0,0,.000,64,48,0,2.78,2.09,11.4,90.8,34.2,29.4,46.8
49,Pittsburgh Penguins,1990-91,24,16,8,0,0,0,0,.000,95,68,0,3.96,2.83,19.0,79.2,30.8,32.5,0.0
50,Los Angeles Kings,2011-12,20,16,4,0,0,0,0,.000,57,30,0,2.85,1.50,12.8,92.1,30.6,26.9,49.7
51,New Jersey Devils,1999-00,23,16,7,0,0,0,0,.000,61,39,0,2.65,1.70,17.1,92.5,31.6,23.3,47.6
52,Pittsburgh Penguins,2015-16,24,16,8,0,0,0,0,.000,73,55,0,3.04,2.29,23.4,85.1,34.9,28.0,50.5
53,Anaheim Ducks,2006-07,21,16,5,0,0,0,0,.000,58,45,0,2.76,2.14,15.2,86.8,30.5,27.6,50.5
54,Detroit Red Wings,2001-02,23,16,7,0,0,0,0,.000,72,47,0,3.13,2.04,19.2,86.5,29.9,24.6,52.0
55,Boston Bruins,2010-11,25,16,9,0,0,0,0,.000,81,53,0,3.24,2.12,11.4,84.4,31.9,34.0,52.0
56,Colorado Avalanche,1995-96,22,16,6,0,0,0,0,.000,80,51,0,3.64,2.32,21.8,85.0,30.2,29.5,0.0
57,Chicago Blackhawks,2009-10,22,16,6,0,0,0,0,.000,78,62,0,3.55,2.82,22.5,83.3,31.8,29.6,50.8
58,Anaheim Ducks,2002-03,21,15,6,0,0,0,0,.000,45,40,0,2.14,1.90,11.4,87.1,27.0,33.5,54.9
59,Detroit Red Wings,2008-09,23,15,8,0,0,0,0,.000,76,48,0,3.30,2.09,23.7,73.2,36.3,28.1,53.7
60,New York Islanders,1980-81,18,15,3,0,0,0,0,.000,97,48,0,5.39,2.67,37.8,80.2,30.3,27.1,--
61,New York Islanders,1982-83,20,15,5,0,0,0,0,.000,94,53,0,4.70,2.65,24.7,87.0,32.6,30.3,--
62,Edmonton Oilers,2005-06,24,15,9,0,0,0,0,.000,70,61,0,2.92,2.54,17.0,86.1,27.3,31.7,52.1
63,New Jersey Devils,2000-01,25,15,10,0,0,0,0,.000,69,52,0,2.76,2.08,15.8,83.7,29.0,20.3,47.5
64,Edmonton Oilers,1983-84,19,15,4,0,0,0,0,.000,94,56,0,4.95,2.95,22.4,77.5,37.7,31.8,--
65,New York Islanders,1981-82,19,15,4,0,0,0,0,.000,85,52,0,4.47,2.74,--,--,33.1,27.7,--
66,Calgary Flames,2003-04,26,15,11,0,0,0,0,.000,60,53,0,2.31,2.04,13.9,82.6,26.8,27.5,48.4
67,Vancouver Canucks,1993-94,24,15,9,0,0,0,0,.000,76,61,0,3.17,2.54,16.4,82.5,31.5,34.3,0.0
68,New York Islanders,1979-80,21,15,6,0,0,0,0,.000,88,66,0,4.19,3.14,26.0,84.1,31.4,29.3,--
69,Edmonton Oilers,1984-85,18,15,3,0,0,0,0,.000,98,57,0,5.44,3.17,--,--,33.4,29.2,--
70,Vancouver Canucks,2010-11,25,15,10,0,0,0,0,.000,58,69,0,2.32,2.76,20.4,80.8,32.3,31.8,49.9
